,From,Team,player_name,Pos,actual_contract_term,"Value                                                                         $511,880,914","AAV                                                                         $2,391,967",TOI_21_22,G_21_22,A1_21_22,iCF_21_22,TAKE_21_22,TOI_22_23,G_22_23,A1_22_23,iCF_22_23,TAKE_22_23,TOI_23_24,G_23_24,A1_23_24,iCF_23_24,TAKE_23_24,GAR_21_22,WAR_21_22,SPAR_21_22,GAR_22_23,WAR_22_23,SPAR_22_23,GAR_23_24,WAR_23_24,SPAR_23_24
0,VAN,BOS,Elias Lindholm,C/RW,7,"$54,250,000","$7,750,000",1114.1,19.0,12.0,202.0,30.0,1635.48,42.0,24.0,381.0,55.0,1492.47,23.0,24.0,343.0,42.0,-0.4,-0.1,-0.1,7.0,1.2,2.3,22.1,3.9,7.4
3,TBL,NSH,Steven Stamkos,C,4,"$32,000,000","$8,000,000",694.05,17.0,8.0,153.0,5.0,1497.13,42.0,43.0,401.0,30.0,1540.68,33.0,30.0,448.0,25.0,4.9,0.8,1.6,18.3,3.1,5.9,21.5,3.8,7.2
6,VGK,NSH,Jonathan Marchessault,C,5,"$27,500,000","$5,500,000",958.3,18.0,17.0,331.0,29.0,1334.83,30.0,24.0,413.0,38.0,1302.67,28.0,16.0,436.0,40.0,4.4,0.7,1.4,9.0,1.5,2.9,6.8,1.2,2.3
37,DET,OTT,David Perron,LW/RW,2,"$8,000,000","$4,000,000",1038.75,19.0,20.0,288.0,17.0,1138.08,27.0,10.0,319.0,37.0,1387.32,24.0,20.0,350.0,40.0,2.0,0.3,0.6,9.1,1.5,2.9,5.1,0.9,1.7
78,BUF,EDM,Jeff Skinner,LW/RW,1,"$3,000,000","$3,000,000",767.4,7.0,4.0,189.0,30.0,1366.15,33.0,23.0,404.0,51.0,1374.38,35.0,30.0,432.0,41.0,1.2,0.2,0.4,19.5,3.3,6.3,7.9,1.4,2.6
74,DAL,DAL,Matt Duchene,C/LW,1,"$3,000,000","$3,000,000",538.3,6.0,5.0,126.0,13.0,1483.07,43.0,24.0,383.0,31.0,1298.67,22.0,18.0,319.0,35.0,10.2,1.7,3.3,8.3,1.4,2.7,17.4,3.1,5.8
38,LAK,EDM,Viktor Arvidsson,LW/RW,2,"$8,000,000","$4,000,000",828.23,10.0,13.0,264.0,18.0,1120.63,20.0,17.0,412.0,24.0,1316.93,26.0,25.0,418.0,19.0,2.4,0.4,0.8,11.9,2.0,3.9,8.1,1.4,2.7
79,NYR,CAR,Jack Roslovic,C,1,"$2,800,000","$2,800,000",811.32,12.0,7.0,130.0,19.0,1156.78,22.0,14.0,219.0,32.0,1266.38,11.0,20.0,218.0,31.0,4.1,0.7,1.3,0.6,0.1,0.2,7.1,1.2,2.4
161,BOS,CBJ,James Van Riemsdyk,LW,1,"$900,000","$900,000",926.45,17.0,11.0,197.0,20.0,1321.22,24.0,8.0,285.0,30.0,936.58,12.0,8.0,196.0,24.0,0.2,0.0,0.1,6.5,1.1,2.1,-1.8,-0.3,-0.6
198,SEA,UTA,Kailer Yamamoto,C,1,"$775,000","$775,000",850.63,8.0,10.0,118.0,32.0,1366.55,20.0,14.0,188.0,34.0,961.53,10.0,7.0,138.0,45.0,0.6,0.1,0.2,6.1,1.0,2.0,2.6,0.5,0.9
141,BUF,VGK,Victor Olofsson,RW,1,"$1,075,000","$1,075,000",973.98,13.0,13.0,228.0,23.0,1104.42,20.0,18.0,293.0,18.0,1075.98,28.0,8.0,273.0,24.0,-0.3,0.0,-0.1,-0.8,-0.1,-0.3,1.2,0.2,0.4
84,SEA,NJD,Tomas Tatar,LW/RW,1,"$1,800,000","$1,800,000",748.77,10.0,12.0,141.0,16.0,1127.18,15.0,8.0,244.0,27.0,1239.6,20.0,12.0,277.0,35.0,2.1,0.3,0.7,14.1,2.4,4.5,-3.5,-0.6,-1.2
124,STL,VGK,Brandon Saad,LW/RW,1,"$1,500,000","$1,500,000",619.5,15.0,2.0,129.0,8.0,1269.17,24.0,17.0,236.0,45.0,1183.03,19.0,14.0,198.0,34.0,5.6,0.9,1.8,2.2,0.4,0.7,7.0,1.2,2.3
12,WPG,SJS,Tyler Toffoli,RW/LW,4,"$24,000,000","$6,000,000",910.42,28.0,9.0,265.0,25.0,648.25,9.0,9.0,168.0,15.0,1361.3,34.0,20.0,477.0,41.0,7.0,1.1,2.2,21.1,3.6,6.8,2.4,0.4,0.8
23,COL,MIN,Yakov Trenin,C,4,"$14,000,000","$3,500,000",519.77,5.0,5.0,106.0,10.0,1173.37,17.0,3.0,243.0,37.0,1166.32,12.0,9.0,259.0,44.0,4.5,0.7,1.4,-2.5,-0.4,-0.8,0.2,0.0,0.1
42,EDM,EDM,Adam Henrique,C,2,"$6,000,000","$3,000,000",721.8,12.0,6.0,129.0,11.0,1010.33,19.0,15.0,233.0,18.0,1126.83,22.0,9.0,224.0,26.0,2.9,0.5,0.9,1.3,0.2,0.4,11.8,2.1,4.0
