"Player","Season","Team","Position","GP","TOI_All","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"A.J. Greer","22-23","BOS","L",61,555.6,0.7,2,0.1,0,-0.6,-0.2,0.8,2,-0.8,2,0.3,0.6
"Aaron Ekblad","22-23","FLA","D",71,1661,-1.5,-3.7,4,3.2,-1.5,0.7,2.5,-0.5,-0.9,1.1,0.2,0.4
"Aatu Raty","22-23","NYI","C",12,105.2,-0.9,0.8,-0.1,0,-0.1,-0.2,-1.1,0.8,-0.4,-0.6,-0.1,-0.2
"Adam Beckman","22-23","MIN","L",9,96.2,-2,0.3,0,0,0.2,0.2,-2,0.3,0.4,-1.4,-0.2,-0.4
"Adam Boqvist","22-23","CBJ","D",46,857.2,7.9,-4.5,-1,0,1.2,0.5,7,-4.5,1.7,4.1,0.7,1.3
"Adam Erne","22-23","DET","L",61,816.2,-2.3,1.3,0,-1.1,0.7,-0.7,-2.3,0.2,0.1,-2,-0.3,-0.7
"Adam Fox","22-23","NYR","D",82,1998.3,5.8,4,3.7,0.4,0.8,0.1,9.5,4.4,0.9,14.8,2.5,4.8
"Adam Henrique","22-23","ANA","C",62,1126.8,3.4,0.2,2.4,-4.4,0.9,-1.2,5.8,-4.2,-0.3,1.3,0.2,0.4
"Adam Larsson","22-23","SEA","D",82,1938.6,3,2.9,-0.1,-1.4,-0.2,-0.9,3,1.5,-1.1,3.4,0.6,1.1
"Adam Lowry","22-23","WPG","C",82,1283.8,3.4,0.1,-1.5,-2.3,1.5,-1.1,1.9,-2.2,0.5,0.2,0,0.1
"Adam Pelech","22-23","NYI","D",61,1320.8,1.4,5.7,0,-2.6,-0.5,0,1.4,3,-0.5,3.9,0.7,1.3
"Adam Ruzicka","22-23","CGY","C",44,510.6,0.8,1.3,0.1,0,0.5,-0.2,0.9,1.3,0.3,2.5,0.4,0.8
"Adrian Kempe","22-23","L.A","C/R",82,1538.1,3.7,0.9,3.9,0.9,0.1,-0.9,7.7,1.8,-0.8,8.7,1.5,2.8
"Aidan McDonough","22-23","VAN","L",6,55.9,-0.4,-0.8,0,0,0,-0.1,-0.4,-0.8,-0.2,-1.3,-0.2,-0.4
"Akito Hirose","22-23","VAN","D",7,122.2,-1.4,-0.3,0.3,-0.3,0,0.1,-1.1,-0.6,0,-1.7,-0.3,-0.5
"Alec Martinez","22-23","VGK","D",77,1480.5,6.8,3.4,0,1,1.6,-0.6,6.8,4.4,1,12.1,2.1,3.9
"Alec Regula","22-23","CHI","D",4,66.4,-1.4,-0.1,0.2,0,-0.3,-0.1,-1.2,-0.1,-0.3,-1.6,-0.3,-0.5
"Aleksander Barkov","22-23","FLA","C",68,1443.3,8.5,2.3,3.8,0.2,2.6,-0.4,12.3,2.4,2.2,16.9,2.9,5.4
"Aleksi Heponiemi","22-23","FLA","C",10,85.9,0.6,-0.4,0,0,-0.1,0,0.6,-0.4,-0.1,0.1,0,0
"Alex Alexeyev","22-23","WSH","D",32,526.5,0.8,3.1,0,0.2,0.6,-0.4,0.8,3.3,0.2,4.3,0.7,1.4
"Alex Barabanov","22-23","S.J","L",68,1227.6,5.6,-2.3,1.6,0,1.1,-1,7.2,-2.3,0.1,5,0.8,1.6
"Alex Belzile","22-23","MTL","R",31,376.1,4.1,1,-0.1,-0.5,0.5,-0.1,4,0.5,0.5,5,0.9,1.6
"Alex Carrier","22-23","NSH","D",43,769.2,-0.7,1,-0.7,1.2,-0.3,0.7,-1.5,2.2,0.5,1.2,0.2,0.4
"Alex Chiasson","22-23","DET","R",20,241.4,-2.1,0.5,1.2,0,0,-0.4,-0.8,0.5,-0.4,-0.7,-0.1,-0.2
"Alex Debrincat","22-23","OTT","R",82,1558.5,1.3,-2.6,3.1,0,1.6,1.4,4.4,-2.7,3,4.7,0.8,1.5
"Alex Edler","22-23","L.A","D",64,946.2,2.7,-1.3,0.1,1.2,-0.4,-0.4,2.7,-0.1,-0.8,1.8,0.3,0.6
