,Unnamed: 0,Rank,player_name,position,"Team Currently With","Age",Contract_Length,AAV,team_x,TOI_22_23,Goals_22_23,A1_22_23,iCF_22_23,ixG_22_23,Giveaways_22_23,Takeaways_22_23,GAR_22_23,WAR_22_23,SPAR_22_23,team_y,TOI_23_24,Goals_23_24,A1_23_24,iCF_23_24,ixG_23_24,Giveaways_23_24,Takeaways_23_24,GAR_23_24,WAR_23_24,SPAR_23_24,team,TOI_24_25,Goals_24_25,A1_24_25,iCF_24_25,ixG_24_25,Giveaways_24_25,Takeaways_24_25,GAR_24_25,WAR_24_25,SPAR_24_25,TOI%_22_23,TOI%_23_24,TOI%_24_25,prev_cap_hit_pct
0,0,1,connor mcdavid,C,"EDM
                     EDM",20,8,12500000.0,EDM,1835.62,64.0,60.0,528.0,48.48,77.0,82.0,31.7,5.4,10.2,EDM,1623.3,32.0,62.0,452.0,34.08,84.0,68.0,32.4,5.3,10.3,EDM,1087.77,22.0,34.0,282.0,23.94,58.0,20.0,16.7,2.7,5.2,7.461869918699190,6.598780487804880,4.421829268292680,15.782828282828300
1,1,2,jack eichel,C,"VGK
                     VGK",21,8,10000000.0,VGK,1257.38,27.0,22.0,359.0,22.86,54.0,47.0,17.6,3.0,5.7,VGK,1292.75,31.0,21.0,431.0,25.66,42.0,60.0,15.3,2.5,4.8,VGK,1160.25,19.0,20.0,311.0,18.74,60.0,22.0,14.3,2.3,4.4,5.111300813008130,5.255081300813010,4.716463414634150,12.269938650306700
2,2,3,john tavares,C,"TOR
                     TOR",27,7,11000000.0,TOR,1412.52,36.0,27.0,464.0,46.51,54.0,46.0,10.3,1.7,3.3,TOR,1429.2,29.0,18.0,484.0,45.05,51.0,37.0,8.3,1.4,2.6,TOR,878.83,21.0,14.0,218.0,22.31,45.0,15.0,11.9,1.9,3.7,5.741951219512200,5.809756097560980,3.572479674796750,13.455657492354700
3,3,4,john carlson,D,"WAS
                     WAS",27,8,8000000.0,WSH,935.6,9.0,9.0,261.0,8.58,33.0,21.0,-0.8,-0.1,-0.3,WSH,2123.12,10.0,16.0,439.0,13.41,82.0,58.0,2.1,0.3,0.7,WSH,1311.9,4.0,18.0,283.0,7.1,83.0,20.0,4.6,0.8,1.4,3.803252032520330,8.630569105691060,5.332926829268290,9.785932721712540
4,4,5,marc-edouard vlasic,D,"SJS
                     SJS",30,8,7000000.0,S.J,1363.05,1.0,5.0,179.0,3.78,37.0,34.0,9.5,1.6,3.1,S.J,928.05,6.0,2.0,158.0,2.99,27.0,16.0,-1.9,-0.3,-0.6,S.J,103.62,0.0,1.0,11.0,0.09,10.0,1.0,1.2,0.2,0.4,5.5408536585365900,3.772560975609760,0.42121951219512200,8.484848484848490
5,5,6,cam fowler,D,"STL
                     STL",26,8,6500000.0,ANA,1982.23,10.0,21.0,294.0,7.35,48.0,34.0,-2.6,-0.4,-0.8,ANA,1978.28,5.0,15.0,258.0,5.18,44.0,27.0,-9.0,-1.5,-2.9,ANA,358.05,0.0,4.0,41.0,0.99,15.0,4.0,-8.1,-1.3,-2.5,8.057845528455290,8.04178861788618,1.4554878048780500,7.784431137724550
6,6,6,cam fowler,D,"STL
                     STL",26,8,6500000.0,ANA,1982.23,10.0,21.0,294.0,7.35,48.0,34.0,-2.6,-0.4,-0.8,ANA,1978.28,5.0,15.0,258.0,5.18,44.0,27.0,-9.0,-1.5,-2.9,ANA,358.05,0.0,4.0,41.0,0.99,15.0,4.0,4.0,0.7,1.2,8.057845528455290,8.04178861788618,1.4554878048780500,7.428571428571430
7,7,6,cam fowler,D,"STL
                     STL",26,8,6500000.0,ANA,1982.23,10.0,21.0,294.0,7.35,48.0,34.0,-2.6,-0.4,-0.8,ANA,1978.28,5.0,15.0,258.0,5.18,44.0,27.0,-9.0,-1.5,-2.9,STL,593.33,6.0,5.0,83.0,1.93,26.0,5.0,-8.1,-1.3,-2.5,8.057845528455290,8.04178861788618,2.4119105691056900,8.207070707070710
8,8,6,cam fowler,D,"STL
                     STL",26,8,6500000.0,ANA,1982.23,10.0,21.0,294.0,7.35,48.0,34.0,-2.6,-0.4,-0.8,ANA,1978.28,5.0,15.0,258.0,5.18,44.0,27.0,-9.0,-1.5,-2.9,STL,593.33,6.0,5.0,83.0,1.93,26.0,5.0,4.0,0.7,1.2,8.057845528455290,8.04178861788618,2.4119105691056900,7.975460122699390
9,9,7,nikolaj ehlers,LW,"WPG
                     WPG",21,7,6000000.0,WPG,705.12,12.0,15.0,293.0,12.58,23.0,30.0,6.7,1.1,2.2,WPG,1301.65,25.0,24.0,495.0,21.44,45.0,37.0,8.1,1.3,2.6,WPG,740.92,17.0,23.0,231.0,14.79,37.0,11.0,12.1,2.0,3.8,2.866341463414630,5.291260162601630,3.011869918699190,7.339449541284400
10,10,8,michael matheson,D,"MTL
                     MTL",23,8,4875000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.963302752293580
11,11,9,jaccob slavin,D,"CAR
                     CAR",23,7,5300000.0,CAR,1671.8,7.0,10.0,297.0,7.35,40.0,88.0,12.0,2.0,3.9,CAR,1695.48,6.0,11.0,340.0,6.34,32.0,71.0,11.5,1.9,3.6,CAR,1211.5,4.0,5.0,221.0,4.99,53.0,42.0,5.2,0.9,1.6,6.7959349593495900,6.89219512195122,4.92479674796748,6.424242424242420
12,12,10,shea theodore,D,"VGK
                     VGK",22,7,5200000.0,VGK,1178.82,8.0,15.0,285.0,7.42,24.0,28.0,10.2,1.7,3.3,VGK,1038.15,5.0,19.0,273.0,5.28,22.0,27.0,6.2,1.0,2.0,VGK,1212.42,7.0,23.0,282.0,6.03,86.0,27.0,5.4,0.9,1.7,4.791951219512200,4.220121951219510,4.928536585365850,6.227544910179640
13,13,1,erik karlsson,D,"PIT
                     PIT",28,8,11500000.0,S.J,2101.18,25.0,42.0,505.0,11.91,101.0,81.0,18.3,3.1,5.9,PIT,1990.02,11.0,24.0,550.0,12.27,71.0,50.0,4.9,0.8,1.6,PIT,1315.28,6.0,13.0,377.0,6.7,91.0,28.0,8.7,1.4,2.7,8.541382113821140,8.089512195121950,5.346666666666670,13.142857142857100
14,14,2,drew doughty,D,"LAK
                     LAK",29,8,11000000.0,L.A,2123.98,9.0,14.0,290.0,9.0,59.0,22.0,7.4,1.3,2.4,L.A,2115.07,15.0,14.0,307.0,8.18,45.0,20.0,7.4,1.2,2.3,L.A,161.7,0.0,0.0,32.0,1.45,7.0,0.0,-2.6,-0.4,-0.8,8.634065040650410,8.597845528455280,0.6573170731707320,13.88888888888890
15,15,3,artemi panarin,LW,"NYR
                     NYR",27,7,11642857.0,NYR,1607.83,29.0,34.0,430.0,21.14,102.0,36.0,11.5,1.9,3.7,NYR,1649.75,49.0,37.0,651.0,32.07,72.0,34.0,17.6,2.9,5.6,NYR,1049.42,23.0,14.0,395.0,18.05,68.0,12.0,4.0,0.7,1.2,6.53589430894309,6.70630081300813,4.265934959349590,14.28571411042950
16,16,4,tyler seguin,C,"DAL
                     DAL",26,8,9850000.0,DAL,1262.9,21.0,15.0,303.0,24.03,33.0,28.0,4.6,0.8,1.5,DAL,1125.02,25.0,15.0,271.0,19.83,27.0,21.0,5.7,0.9,1.8,DAL,308.18,9.0,8.0,88.0,7.67,12.0,4.0,6.8,1.1,2.1,5.133739837398380,4.573252032520330,1.2527642276422800,12.048929663608600
17,17,T5,nikita kucherov,RW,"TBL
                     TBL",25,8,9500000.0,T.B,1650.85,30.0,48.0,545.0,31.3,98.0,57.0,16.1,2.7,5.2,T.B,1753.9,44.0,62.0,635.0,36.13,96.0,62.0,24.7,4.0,7.8,T.B,1132.63,25.0,41.0,372.0,18.29,88.0,19.0,16.2,2.6,5.0,6.7107723577235800,7.129674796747970,4.604186991869920,11.62079510703360
18,18,T5,mark stone,RW,"VGK
                     VGK",26,8,9500000.0,VGK,833.2,17.0,13.0,190.0,18.82,22.0,47.0,19.2,3.3,6.2,VGK,1086.78,16.0,20.0,212.0,18.03,29.0,62.0,9.5,1.6,3.0,VGK,831.52,14.0,22.0,146.0,14.5,51.0,27.0,11.4,1.9,3.5,3.3869918699187000,4.417804878048780,3.380162601626020,11.515151515151500
19,19,7,mitchell marner,RW,"TOR
                     TOR",21,6,10903000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05748502994010
20,20,8,logan couture,C,"SJS
                     SJS",29,8,8000000.0,S.J,1568.78,27.0,23.0,342.0,28.37,35.0,71.0,6.2,1.1,2.0,S.J,112.52,0.0,1.0,20.0,1.27,1.0,2.0,-1.9,-0.3,-0.6,,,,,,,,,,,,6.377154471544720,0.45739837398374000,,9.142857142857140
21,21,9,jacob trouba,D,"ANA
                     ANA",24,7,8000000.0,NYR,1738.68,8.0,11.0,362.0,8.56,49.0,32.0,2.2,0.4,0.7,NYR,1465.95,3.0,10.0,271.0,5.36,33.0,13.0,-5.3,-0.9,-1.7,ANA,607.5,0.0,5.0,105.0,1.21,37.0,13.0,3.3,0.5,1.0,7.067804878048780,5.959146341463420,2.4695121951219500,10.1010101010101
22,22,9,jacob trouba,D,"ANA
                     ANA",24,7,8000000.0,NYR,1738.68,8.0,11.0,362.0,8.56,49.0,32.0,2.2,0.4,0.7,NYR,1465.95,3.0,10.0,271.0,5.36,33.0,13.0,-5.3,-0.9,-1.7,ANA,607.5,0.0,5.0,105.0,1.21,37.0,13.0,-2.0,-0.3,-0.6,7.067804878048780,5.959146341463420,2.4695121951219500,9.815950920245400
23,23,9,jacob trouba,D,"ANA
                     ANA",24,7,8000000.0,NYR,1738.68,8.0,11.0,362.0,8.56,49.0,32.0,2.2,0.4,0.7,NYR,1465.95,3.0,10.0,271.0,5.36,33.0,13.0,-5.3,-0.9,-1.7,NYR,480.18,0.0,5.0,88.0,1.51,23.0,6.0,3.3,0.5,1.0,7.067804878048780,5.959146341463420,1.9519512195122000,9.785932721712540
24,24,9,jacob trouba,D,"ANA
                     ANA",24,7,8000000.0,NYR,1738.68,8.0,11.0,362.0,8.56,49.0,32.0,2.2,0.4,0.7,NYR,1465.95,3.0,10.0,271.0,5.36,33.0,13.0,-5.3,-0.9,-1.7,NYR,480.18,0.0,5.0,88.0,1.51,23.0,6.0,-2.0,-0.3,-0.6,7.067804878048780,5.959146341463420,1.9519512195122000,9.785932721712540
25,25,10,mikko rantanen,RW,"CAR
                     CAR",22,6,9250000.0,COL,1822.07,55.0,37.0,559.0,39.13,45.0,61.0,14.7,2.5,4.8,COL,1832.45,42.0,36.0,527.0,33.96,43.0,43.0,18.0,3.0,5.7,CAR,118.08,1.0,1.0,40.0,2.81,5.0,4.0,0.6,0.1,0.2,7.406788617886180,7.448983739837400,0.48,11.212121212121200
26,26,10,mikko rantanen,RW,"CAR
                     CAR",22,6,9250000.0,COL,1822.07,55.0,37.0,559.0,39.13,45.0,61.0,14.7,2.5,4.8,COL,1832.45,42.0,36.0,527.0,33.96,43.0,43.0,18.0,3.0,5.7,CAR,118.08,1.0,1.0,40.0,2.81,5.0,4.0,5.3,0.9,1.7,7.406788617886180,7.448983739837400,0.48,11.077844311377200
27,27,10,mikko rantanen,RW,"CAR
                     CAR",22,6,9250000.0,COL,1822.07,55.0,37.0,559.0,39.13,45.0,61.0,14.7,2.5,4.8,COL,1832.45,42.0,36.0,527.0,33.96,43.0,43.0,18.0,3.0,5.7,COL,1102.42,25.0,26.0,286.0,24.91,48.0,22.0,0.6,0.1,0.2,7.406788617886180,7.448983739837400,4.481382113821140,10.571428571428600
