Unnamed: 0,player_name,position,age,yoe,prev_team,prev_aav,contract_type,toi_22_23,goals_22_23,a1_22_23,icf_22_23,ixg_22_23,giveaways_22_23,takeaways_22_23,gar_22_23,war_22_23,spar_22_23,toi_23_24,goals_23_24,a1_23_24,icf_23_24,ixg_23_24,giveaways_23_24,takeaways_23_24,gar_23_24,war_23_24,spar_23_24,toi_24_25,goals_24_25,a1_24_25,icf_24_25,ixg_24_25,giveaways_24_25,takeaways_24_25,gar_24_25,war_24_25,spar_24_25,toi%_22_23,toi%_23_24,toi%_24_25,prev_cap_hit_pct
0,aaron ekblad,D,28.9,9,FLA,7500000.0,UFA,1660.98,14.0,15.0,377.0,15.86,65.0,29.0,1.1,0.2,0.4,1064.0,4.0,6.0,226.0,6.13,26.0,14.0,2.0,0.3,0.6,1149.02,3.0,11.0,253.0,4.98,48.0,19.0,1.2,-0.2,-0.3,6.751951219512195,4.32520325203252,4.670813008130081,9.018036071782843
1,aatu raty,C,22.2,1,VAN,925000.0,RFA,105.17,2.0,0.0,25.0,1.01,5.0,4.0,-0.6,-0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.62,2.0,0.0,22.0,0.72,4.0,1.0,2.5,0.0,0.1,0.427520325203252,0.0,0.8114634146341464,1.1122244488532174
2,adam beckman,LW,23.7,1,NJD,775000.0,RFA,96.22,0.0,0.0,25.0,1.29,0.0,2.0,-1.4,-0.2,-0.4,103.48,0.0,1.0,23.0,0.98,0.0,2.0,-1.8,-0.3,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3911382113821138,0.420650406504065,0.0,0.9318637274175604
3,adam boqvist,D,24.4,5,FLA,775000.0,RFA,1714.36,10.0,22.0,270.0,7.02,48.0,22.0,8.2,1.4,2.6,1279.84,2.0,10.0,242.0,6.98,32.0,14.0,-7.6,-1.2,-2.4,311.29999999999995,3.0,3.0,71.0,1.65,11.0,4.0,0.6000000000000001,-0.6,-1.0,6.968943089430894,5.20260162601626,1.2654471544715449,0.9318637274175604
4,adam edstrom,C,24.2,1,NYR,846667.0,RFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52,2.0,0.0,10.0,1.07,4.0,1.0,0.1,0.0,0.0,472.95,5.0,3.0,73.0,7.61,19.0,7.0,1.9,0.3,0.5,0.0,0.3760975609756097,1.922560975609756,1.0180364729050886
5,akito hirose,D,25.8,1,VAN,787500.0,RFA,122.25,0.0,1.0,9.0,0.19,5.0,1.0,-1.7,-0.3,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4969512195121951,0.0,0.0,0.9468937875371988
6,alec martinez,D,37.5,14,CHI,4000000.0,UFA,1480.52,3.0,4.0,197.0,3.9,30.0,29.0,12.1,2.1,3.9,1047.43,4.0,5.0,182.0,2.73,25.0,12.0,7.5,1.2,2.4,562.57,4.0,0.0,91.0,1.52,31.0,7.0,-1.9,0.4,0.7,6.018373983739838,4.2578455284552845,2.286869918699187,4.809619238284184
7,alec regula,D,24.4,1,EDM,775000.0,RFA,66.38,0.0,0.0,7.0,0.06,7.0,1.0,-1.6,-0.3,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698373983739837,0.0,0.0,0.9318637274175604
8,alex barre-boulet,C,27.7,3,MTL,775000.0,RFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.8,6.0,2.0,81.0,6.03,9.0,14.0,-4.6,-0.8,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63739837398374,0.0,0.9318637274175604
9,alex belzile,RW,33.3,3,NYR,775000.0,UFA,376.15,6.0,3.0,67.0,2.82,13.0,8.0,5.0,0.9,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5290650406504065,0.0,0.0,0.9318637274175604
10,alex iafallo,,31.1,6,WPG,4000000.0,UFA,961.7,14.0,13.0,218.0,14.41,9.0,28.0,9.2,1.6,3.0,1255.7,11.0,10.0,249.0,17.54,20.0,28.0,6.5,1.1,2.1,722.85,8.0,9.0,129.0,8.24,24.0,20.0,13.2,1.2,2.3,3.9093495934959352,5.104471544715447,2.938414634146341,4.809619238284184
11,alex laferriere,RW,23.2,1,LAK,875000.0,RFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.8,12.0,7.0,318.0,16.59,26.0,21.0,-3.2,-0.5,-1.0,818.22,14.0,12.0,257.0,15.91,27.0,11.0,10.1,1.4,2.7,0.0,4.352845528455284,3.32609756097561,1.0521042083746652
12,andreas athanasiou,C,30.4,9,CHI,4250000.0,UFA,1296.25,20.0,11.0,337.0,20.42,49.0,58.0,1.7,0.3,0.6,366.73,2.0,4.0,80.0,3.82,7.0,19.0,-0.5,-0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,5.269308943089431,1.4907723577235772,0.0,5.110220440676945
13,andreas englund,,29.0,5,LAK,1000000.0,UFA,1138.48,0.0,4.0,144.0,2.3200000000000003,16.0,18.0,0.0,0.0,0.0,4336.92,4.0,8.0,444.0,5.72,88.0,32.0,-12.0,-2.0,-4.0,455.12,4.0,0.0,28.0,0.28,32.0,4.0,-1.5,-0.8,-1.6,4.627967479674798,17.629756097560975,1.850081300813008,1.202404809571046
14,andrei kuzmenko,LW,28.9,1,CGY,5500000.0,UFA,5262.32,152.0,56.0,1100.0,91.28,116.0,128.0,72.0,12.0,23.2,2143.34,44.0,26.0,530.0,37.48,48.0,54.0,30.200000000000003,5.0,9.6,2193.28,16.0,24.0,348.0,19.52,108.0,56.0,10.2,0.4,0.8,21.39154471544716,8.712764227642277,8.915772357723577,6.6132264526407525
15,andrew mangiapane,LW,28.8,7,WAS,5800000.0,UFA,1379.22,17.0,17.0,343.0,26.42,32.0,48.0,7.0,1.2,2.2,1199.65,14.0,17.0,272.0,22.24,29.0,24.0,5.7,0.9,1.8,715.88,11.0,5.0,119.0,11.05,39.0,9.0,2.1,0.3,0.6,5.606585365853658,4.876626016260163,2.910081300813008,6.973947895512065
16,angus crookshank,LW,25.2,1,OTT,775000.0,RFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.47,2.0,0.0,33.0,1.5,3.0,2.0,1.6,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.5344308943089431,0.0,0.9318637274175604
17,anthony beauvillier,LW,27.6,7,PIT,1250000.0,UFA,1333.5,18.0,14.0,285.0,357.3,612.0,576.0,21.6,3.6,7.199999999999999,9778.2,60.0,72.0,2376.0,134.04,120.0,372.0,-20.4,-3.6,-7.199999999999999,743.0,432.0,72.0,6588.0,429.12,684.0,468.0,10.3,32.4,57.6,97.57317073170732,39.74878048780488,103.97121951219512,1.5030060119638071
18,anthony mantha,RW,30.3,8,CGY,3500000.0,UFA,3810.6,44.0,40.0,812.0,51.96,132.0,92.0,18.8,3.2,6.0,2105.16,46.0,22.0,436.0,29.88,44.0,46.0,35.2,5.8,11.2,722.92,16.0,8.0,140.0,9.76,28.0,12.0,3.1,2.0,3.6,15.490243902439024,8.557560975609757,2.9386991869918697,4.208416833498661
19,anton blidh,LW,29.8,7,NYR,775000.0,UFA,92.12,0.0,0.0,13.0,0.67,0.0,1.0,-1.5,-0.3,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3744715447154472,0.0,0.0,0.9318637274175604
20,arshdeep bains,LW,24.0,1,VAN,816667.0,RFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.45,0.0,0.0,10.0,0.52,1.0,1.0,-2.8,-0.5,-0.9,120.3,1.0,0.0,15.0,0.99,4.0,1.0,-2.3,-0.3,-0.6,0.0,0.3839430894308943,0.4890243902439024,0.9819643286179572
21,arthur kaliyev,RW,23.6,3,NYR,825000.0,RFA,654.07,13.0,8.0,227.0,13.49,14.0,8.0,1.9,0.3,0.6,601.92,7.0,7.0,211.0,9.75,15.0,11.0,2.3,0.4,0.7,124.55,3.0,1.0,26.0,1.32,4.0,0.0,1.9,0.3,0.6,2.6588211382113824,2.446829268292683,0.5063008130081301,0.9919839678961128
22,austin watson,LW,33.0,9,DET,775000.0,UFA,767.47,9.0,1.0,139.0,8.1,21.0,19.0,-2.9,-0.5,-0.9,239.73,2.0,1.0,34.0,1.72,0.0,3.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.1197967479674795,0.9745121951219512,0.0,0.9318637274175604
23,axel jonsson-fjallby,LW,26.9,2,WPG,775000.0,UFA,522.08,6.0,4.0,98.0,4.98,14.0,13.0,2.2,0.4,0.7,210.93,2.0,3.0,55.0,1.9,3.0,3.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.122276422764228,0.8574390243902439,0.0,0.9318637274175604
24,ben harpur,D,30.0,7,NYR,787500.0,UFA,590.68,1.0,0.0,77.0,0.89,23.0,13.0,-2.7,-0.5,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4011382113821136,0.0,0.0,0.9468937875371988
25,ben meyers,LW,26.2,2,SEA,775000.0,UFA,1497.2,16.0,0.0,244.0,24.88,12.0,44.0,-0.4,0.0,0.0,465.04,2.0,2.0,68.0,3.04,6.0,6.0,-0.3999999999999999,0.0,0.0,200.92,0.0,0.0,28.0,1.24,4.0,4.0,-1.6,-0.8,-1.6,6.086178861788618,1.8904065040650404,0.8167479674796748,0.9318637274175604
26,benoit-olivier groulx,C,24.9,3,NYR,775000.0,RFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.48,0.0,1.0,82.0,4.12,10.0,10.0,-7.5,-1.2,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22959349593496,0.0,0.9318637274175604
27,bowen byram,D,23.6,4,BUF,3850000.0,RFA,3675.48,40.0,32.0,560.0,23.36,80.0,52.0,8.4,1.2,2.8,2970.0,22.0,12.0,410.0,11.72,66.0,40.0,-10.2,-1.7999999999999998,-3.2,5001.8,28.0,32.0,560.0,21.72,196.0,52.0,6.9,5.2,10.0,14.940975609756096,12.073170731707316,20.33252032520325,4.629258516848527
28,brad marchand,,36.7,15,BOS,6125000.0,UFA,1352.98,21.0,31.0,335.0,22.94,84.0,42.0,12.5,2.1,4.0,1566.35,29.0,21.0,390.0,27.76,80.0,48.0,13.9,2.3,4.4,1058.43,20.0,16.0,315.0,25.45,60.0,16.0,1.0,0.6,1.2,5.499918699186992,6.367276422764228,4.302560975609756,7.364729458622656
29,brandon biro,LW,26.8,1,SEA,775000.0,UFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.22,2.0,0.0,4.0,1.23,2.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2204065040650406,0.0,0.9318637274175604
30,brandon gignac,C,27.2,1,MTL,775000.0,UFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.52,1.0,0.0,9.0,0.98,6.0,3.0,-1.1,-0.2,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3313821138211382,0.0,0.9318637274175604
31,brandon tanev,C,33.0,8,SEA,3500000.0,UFA,1166.22,16.0,12.0,192.0,18.76,24.0,33.0,9.5,1.6,3.1,962.78,7.0,6.0,136.0,11.0,13.0,31.0,0.4,0.1,0.1,774.98,9.0,5.0,130.0,9.83,37.0,17.0,-3.9,-0.4,-0.7,4.740731707317073,3.913739837398374,3.150325203252033,4.208416833498661
