player_name,position,Age,YOE,prev_team,prev_aav,contract_type
John Tavares,C,34.3,14,TOR,"$11,000,000",UFA
Mitch Marner,RW,27.7,7,TOR,"$10,903,000",UFA
Jamie Benn,,35.5,15,DAL,"$9,500,000",UFA
Mikko Rantanen,RW,28.2,9,CAR,"$9,250,000",UFA
Nicklas Backstrom,C,37.2,16,WAS,"$9,200,000",UFA
Brent Burns,,39.8,20,CAR,"$8,000,000",UFA
Dmitry Orlov,,33.5,12,CAR,"$7,750,000",UFA
Aaron Ekblad,D,28.9,9,FLA,"$7,500,000",UFA
Ivan Provorov,D,28.0,8,CBJ,"$6,750,000",UFA
Brock Boeser,,27.9,7,VAN,"$6,650,000",UFA
Claude Giroux,,37.0,16,OTT,"$6,500,000",UFA
Jeff Petry,D,37.1,14,DET,"$6,250,000",UFA
Brad Marchand,,36.7,15,BOS,"$6,125,000",UFA
Nikolaj Ehlers,LW,28.9,8,WPG,"$6,000,000",UFA
Brock Nelson,,33.2,10,NYI,"$6,000,000",UFA
Taylor Hall,LW,33.2,14,CAR,"$6,000,000",UFA
Neal Pionk,D,29.4,6,WPG,"$5,875,000",UFA
Vladislav Gavrikov,D,29.2,4,LAK,"$5,875,000",UFA
Andrew Mangiapane,LW,28.8,7,WAS,"$5,800,000",UFA
T.J. Oshie,RW,38.1,15,WAS,"$5,750,000",UFA
Andrei Kuzmenko,LW,28.9,1,CGY,"$5,500,000",UFA
Yanni Gourde,C,33.1,8,SEA,"$5,166,667",UFA
Kyle Palmieri,,33.9,13,NYI,"$5,000,000",UFA
Mikael Granlund,C,32.9,11,SJS,"$5,000,000",UFA
Reilly Smith,RW,33.8,12,NYR,"$5,000,000",UFA
Jason Zucker,LW,33.0,13,BUF,"$5,000,000",UFA
Jakob Chychrun,D,26.8,7,WAS,"$4,600,000",UFA
Ryan Lindgren,D,26.9,5,NYR,"$4,500,000",UFA
Christian Dvorak,C,28.9,7,MTL,"$4,450,000",UFA
Sam Bennett,C,28.6,9,FLA,"$4,425,000",UFA
Andreas Athanasiou,C,30.4,9,CHI,"$4,250,000",UFA
Noah Dobson,D,25.0,4,NYI,"$4,000,000",RFA
Jake Oettinger,,26.1,4,DAL,"$4,000,000",RFA
Alex Iafallo,,31.1,6,WPG,"$4,000,000",UFA
Robby Fabbri,C,29.0,9,ANA,"$4,000,000",UFA
Patrick Kane,RW,36.2,16,DET,"$4,000,000",UFA
Alec Martinez,D,37.5,14,CHI,"$4,000,000",UFA
Evan Bouchard,D,25.2,5,EDM,"$3,900,000",RFA
K'Andre Miller,D,25.0,3,NYR,"$3,872,000",RFA
Bowen Byram,D,23.6,4,BUF,"$3,850,000",RFA
Brandon Tanev,C,33.0,8,SEA,"$3,500,000",UFA
David Savard,D,34.2,12,MTL,"$3,500,000",UFA
Alexander Kerfoot,C,30.4,7,UTA,"$3,500,000",UFA
Anthony Mantha,RW,30.3,8,CGY,"$3,500,000",UFA
Gabe Vilardi,C,25.4,4,WPG,"$3,437,500",RFA
Mason Mctavish,C,21.9,3,ANA,"$3,425,000",RFA
Joel Armia,RW,32.6,9,MTL,"$3,400,000",UFA
Radek Faksa,C,31.0,9,STL,"$3,250,000",UFA
Cody Ceci,D,31.1,11,SJS,"$3,250,000",UFA
Gustav Nyquist,,35.3,11,NSH,"$3,185,000",UFA
