player_name,age,contract_type,Final_Contract_Term
aaron ekblad,28.9,1,7
aatu raty,22.2,0,1
adam beckman,23.7,0,1
adam boqvist,24.4,0,1
adam edstrom,24.2,0,1
akito hirose,25.8,0,1
alec martinez,37.5,1,3
alec regula,24.4,0,1
alex barre-boulet,27.7,0,1
alex belzile,33.3,1,1
alex iafallo,31.1,1,4
alex laferriere,23.2,0,1
andreas athanasiou,30.4,1,4
andreas englund,29.0,1,1
andrei kuzmenko,28.9,1,4
andrew mangiapane,28.8,1,4
angus crookshank,25.2,0,1
anthony beauvillier,27.6,1,1
anthony mantha,30.3,1,2
anton blidh,29.8,1,1
arshdeep bains,24.0,0,1
arthur kaliyev,23.6,0,1
austin watson,33.0,1,1
axel jonsson-fjallby,26.9,1,1
ben harpur,30.0,1,1
ben meyers,26.2,1,1
benoit-olivier groulx,24.9,0,1
bowen byram,23.6,0,4
brad marchand,36.7,1,3
brandon biro,26.8,1,1
brandon gignac,27.2,1,1
brandon tanev,33.0,1,4
brendan brisson,23.2,0,1
brendan smith,35.9,1,1
brent burns,39.8,1,3
brett leason,25.7,1,1
brett seney,28.9,1,1
brian dumoulin,33.3,1,4
brock boeser,27.9,1,6
brock mcginn,30.9,1,4
brock nelson,33.2,1,4
cale fleury,26.2,0,1
caleb jones,27.6,1,1
calle rosen,30.9,1,1
calvin de haan,33.7,1,1
carson meyer,27.4,1,1
chad ruhwedel,34.7,1,1
chris wagner,33.7,1,1
christian dvorak,28.9,1,4
christian fischer,27.8,1,1
christian wolanin,29.8,1,1
claude giroux,37.0,1,3
cody ceci,31.1,1,4
cody glass,25.8,1,3
cole guttman,25.8,0,1
cole koepke,26.7,1,1
cole mcward,23.6,0,1
colin blackwell,31.8,1,1
connor brown,31.0,1,1
connor dewar,25.5,0,1
connor zary,23.3,0,1
conor timmins,26.3,0,1
corey perry,39.8,1,1
corey schueneman,29.1,1,1
craig smith,35.3,1,1
curtis lazar,29.9,1,1
daemon hunt,22.7,0,1
dakota mermis,31.0,1,1
daniel sprong,27.8,1,1
dante fabbro,26.6,1,3
david savard,34.2,1,4
declan chisholm,25.0,1,1
dennis gilbert,28.2,1,1
derek forbort,32.8,1,2
derek ryan,38.0,1,1
derrick pouliot,31.0,1,1
devin shore,30.5,1,1
dmitri voronkov,24.3,0,1
dmitry orlov,33.5,1,5
dominic toninato,30.8,1,1
drew o'connor,26.6,1,1
dryden hunt,29.2,1,1
dylan coghlan,26.9,1,1
dylan gambrell,28.4,1,1
dylan mcilrath,32.8,1,1
dylan samberg,26.0,0,2
dysin mayo,28.4,1,1
elliot desnoyers,23.0,0,1
emil bemstrom,25.6,1,1
eric robinson,29.6,1,1
erik brannstrom,25.3,1,1
erik johnson,36.8,1,1
ethan bear,27.6,1,3
evan bouchard,25.2,0,4
fabian zetterlund,25.4,1,2
filip roos,26.0,0,1
givani smith,26.9,1,1
grigori denisenko,24.6,0,1
guillaume brisebois,27.5,1,1
gustav lindstrom,26.2,0,1
gustav nyquist,35.3,1,3
haydn fleury,28.5,1,1
hendrix lapierre,22.9,0,1
henri jokiharju,25.6,1,4
hudson fasching,29.5,1,1
hunter mckown,22.4,0,2
ian cole,35.9,1,3
ian mitchell,26.0,0,1
isaak phillips,23.3,0,1
isac lundestrom,25.2,1,2
ivan provorov,28.0,1,7
jack johnson,38.0,1,1
jack mcbain,25.0,0,2
jack quinn,23.3,0,2
jack rathbone,25.8,0,1
jack roslovic,27.9,1,3
jack studnicka,25.9,1,1
jacob bernard-docker,24.5,0,1
jacob bryson,27.2,1,1
jake evans,28.6,1,2
jake leschyshyn,25.8,0,1
jake livingstone,25.8,0,1
jakob chychrun,26.8,1,4
jakob pelletier,23.8,0,1
jakub lauko,24.8,0,1
jakub vrana,28.9,1,1
james van riemsdyk,35.7,1,1
jamie benn,35.5,1,3
jan rutta,34.4,1,3
jani hakanpaa,32.8,1,2
jarred tinordi,32.9,1,1
jason polin,25.6,0,1
jason zucker,33.0,1,4
jaycob megna,32.1,1,1
jayden struble,23.4,0,1
jean-luc foudy,22.7,0,1
jeff petry,37.1,1,3
jeff skinner,32.7,1,4
jesper boqvist,26.2,1,1
jesper fast,33.1,1,3
jesse puljujarvi,26.7,1,1
jimmy vesey,31.7,1,1
joe snively,29.0,1,1
joel armia,32.6,1,2
joel hanley,33.6,1,1
joel kiviranta,28.8,1,1
john beecher,23.8,0,1
john hayden,29.9,1,1
john klingberg,32.4,1,2
john ludvig,24.4,0,1
john tavares,34.3,1,6
johnathan kovacevic,27.5,1,1
jon merrill,32.9,1,1
jonas rondbjerg,25.8,0,1
jonatan berggren,24.5,0,1
jonathan drouin,29.8,1,3
joona koppanen,26.9,1,1
jordan greenway,27.9,1,4
jordan harris,24.5,0,2
julien gauthier,27.2,1,1
justin bailey,29.5,1,1
justin brazeau,26.9,1,1
justin danforth,31.8,1,1
justin kirkland,28.4,1,1
juuso parssinen,23.9,0,1
k'andre miller,25.0,0,4
kaapo kakko,23.9,0,3
kailer yamamoto,26.2,0,1
kale clague,26.6,1,1
kasperi kapanen,28.5,1,1
kevin bahl,24.6,0,1
kevin labanc,29.1,1,1
kevin rooney,31.7,1,1
kieffer bellows,26.6,1,1
klim kostin,25.7,0,3
kyle palmieri,33.9,1,4
lane pederson,27.4,1,1
lars eller,35.7,1,3
liam foudy,24.9,0,1
lukas rousek,25.8,0,1
luke evangelista,22.9,0,1
luke glendening,35.8,1,1
luke hughes,21.3,0,2
luke kunin,27.1,1,3
mac hollowell,26.3,0,1
mackenzie entwistle,25.5,1,1
mackenzie maceachern,30.8,1,1
mackie samoskevich,22.2,0,1
marat khusnutdinov,22.5,0,2
marc del gaizo,25.2,0,1
marco rossi,23.3,0,2
marcus johansson,34.2,1,3
