player_name,Predicted AAV,Final_Predicted_GAR_25_26,Fair_Market_Value,Value_Rating,Value_Score,Value_Category,Final_Contract_Term,age
Aaron Ekblad,9064653,1.4082102967642751,1114373.0,-7950280.0,0,Overvalued,7,28.9
Alec Martinez,4674413,3.6088744466081217,2855848.0,-1818565.0,38,Overvalued,3,37.5
Alex Iafallo,4599617,10.188734622630388,8062756.0,3463139.0,70,Undervalued,4,31.1
Andrei Kuzmenko,6414002,12.939525035747378,10239567.0,3825565.0,72,Undervalued,4,28.9
Andrew Mangiapane,6720693,4.072242463896654,3222529.0,-3498164.0,27,Overvalued,4,28.8
Anthony Beauvillier,1432079,4.795551051865189,3794912.0,2362833.0,63,Undervalued,1,27.6
Anthony Mantha,3952839,7.633799847082834,6040933.0,2088094.0,62,Undervalued,2,30.3
Arthur Kaliyev,947995,1.9807310648613443,1567432.0,619437.0,53,Undervalued,1,23.6
Bowen Byram,4464347,2.3255678095628367,1840315.0,-2624032.0,33,Overvalued,4,23.6
Brad Marchand,6991117,7.02361588780564,5558070.0,-1433047.0,40,Overvalued,3,36.7
Brandon Tanev,4010472,0.0397050248969645,775000.0,-3235472.0,29,Overvalued,4,33.0
Brendan Smith,1148871,0.8750912051360855,775000.0,-373871.0,46,Overvalued,1,35.9
Brent Burns,9418616,6.597334926071225,5220737.0,-4197879.0,23,Overvalued,3,39.8
Brian Dumoulin,3613575,2.526241789353961,1999117.0,-1614458.0,39,Overvalued,4,33.3
Brian Dumoulin,3613575,2.526241789353961,1999117.0,-1614458.0,39,Overvalued,4,33.3
Brock Boeser,8170130,4.389974505940923,3473963.0,-4696167.0,20,Overvalued,6,27.9
Brock Nelson,6903846,11.362336422430126,8991474.0,2087628.0,62,Undervalued,4,33.2
Caleb Jones,889930,0.356870720353396,775000.0,-114930.0,48,Overvalued,1,27.6
Calvin De Haan,918637,1.806032253380017,1429186.0,510549.0,52,Undervalued,1,33.7
Chad Ruhwedel,889930,0.688500064846292,775000.0,-114930.0,48,Overvalued,1,34.7
Claude Giroux,7383260,7.295075603324523,5772887.0,-1610373.0,39,Overvalued,3,37.0
Cody Glass,2866368,3.959540250929627,3133343.0,266975.0,50,Undervalued,3,25.8
Cole Koepke,889930,2.572729539822138,2035904.0,1145974.0,56,Undervalued,1,26.7
Colin Blackwell,889930,1.9780186879389805,1565286.0,675356.0,53,Undervalued,1,31.8
Connor Brown,1148871,0.2432860879406346,775000.0,-373871.0,46,Overvalued,1,31.0
Conor Timmins,1265624,3.53331043707367,2796051.0,1530427.0,58,Undervalued,1,26.3
